index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price_in_usd,price_of_each_car_in_Euros
16,Chevrolet,hatchback,88.4,141.1,l,three,48,47,5151.0,4905.714285714285
36,Mazda,hatchback,93.1,159.1,ohc,four,68,30,5195.0,4947.619047619048
66,Toyota,hatchback,95.7,158.7,ohc,four,62,35,5348.0,5093.333333333333
48,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389.0,5132.380952380952
37,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6095.0,5804.761904761905
50,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189.0,5894.285714285714
20,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6229.0,5932.380952380952
17,Chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295.0,5995.238095238095
67,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6338.0,6036.190476190476
19,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6377.0,6073.333333333333
68,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6488.0,6179.047619047618
18,Chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575.0,6261.9047619047615
54,Nissan,sedan,94.5,165.3,ohc,four,69,31,6649.0,6332.380952380952
30,Isuzu,sedan,94.3,170.7,ohc,four,78,24,6785.0,6461.9047619047615
38,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6795.0,6471.428571428572
55,Nissan,sedan,94.5,165.3,ohc,four,69,31,6849.0,6522.857142857142
69,Toyota,wagon,95.7,169.7,ohc,four,62,31,6918.0,6588.571428571428
51,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989.0,6656.190476190476
26,Honda,wagon,96.5,157.1,ohc,four,76,30,7295.0,6947.619047619048
56,Nissan,wagon,94.5,170.2,ohc,four,69,31,7349.0,6999.047619047618
80,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775.0,7404.761904761905
70,Toyota,wagon,95.7,169.7,ohc,four,62,27,7898.0,7521.9047619047615
81,Volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975.0,7595.2380952380945
82,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995.0,7614.285714285714
52,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189.0,7799.047619047618
71,Toyota,wagon,95.7,169.7,ohc,four,62,27,8778.0,8360.0
86,Volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995.0,9519.047619047618
29,Honda,sedan,96.5,169.1,ohc,four,100,25,10345.0,9852.380952380952
39,Mazda,hatchback,95.3,169.0,rotor,two,101,17,11845.0,11280.95238095238
87,Volvo,sedan,104.3,188.8,ohc,four,114,23,12940.0,12323.809523809523
28,Honda,sedan,96.5,175.4,ohc,four,101,24,12945.0,12328.571428571428
88,Volvo,wagon,104.3,188.8,ohc,four,114,23,13415.0,12776.190476190475
0,Alfa-romero,convertible,88.6,168.8,dohc,four,111,21,13495.0,12852.380952380952
57,Nissan,sedan,100.4,184.6,ohcv,six,152,19,13499.0,12856.190476190475
3,Audi,sedan,99.8,176.6,ohc,four,102,24,13950.0,13285.714285714284
5,Audi,sedan,99.8,177.3,ohc,five,110,19,15250.0,14523.809523809523
79,Toyota,wagon,104.5,187.8,dohc,six,156,19,15750.0,15000.0
9,Bmw,sedan,101.2,176.8,ohc,four,101,23,16430.0,15647.619047619048
1,Alfa-romero,convertible,88.6,168.8,dohc,four,111,21,16500.0,15714.285714285714
10,Bmw,sedan,101.2,176.8,ohc,four,101,23,16925.0,16119.047619047618
4,Audi,sedan,99.4,176.6,ohc,five,115,18,17450.0,16619.04761904762
43,Mazda,sedan,104.9,175.0,ohc,four,72,31,18344.0,17470.47619047619
6,Audi,wagon,105.8,192.7,ohc,five,110,19,18920.0,18019.04761904762
11,Bmw,sedan,101.2,176.8,ohc,six,121,21,20970.0,19971.42857142857
44,Mercedes-benz,sedan,110.0,190.9,ohc,five,123,22,25552.0,24335.238095238095
45,Mercedes-benz,wagon,110.0,190.9,ohc,five,123,22,28248.0,26902.85714285714
13,Bmw,sedan,103.5,189.0,ohc,six,182,16,30760.0,29295.238095238095
33,Jaguar,sedan,113.0,199.6,dohc,six,176,15,32250.0,30714.285714285714
61,Porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028.0,32407.619047619046
34,Jaguar,sedan,113.0,199.6,dohc,six,176,15,35550.0,33857.142857142855
35,Jaguar,sedan,102.0,191.7,ohcv,twelve,262,13,36000.0,34285.71428571428
15,Bmw,sedan,110.0,197.0,ohc,six,182,15,36880.0,35123.80952380952
62,Porsche,convertible,89.5,168.9,ohcf,six,207,17,37028.0,35264.7619047619
46,Mercedes-benz,sedan,120.9,208.1,ohcv,eight,184,14,40960.0,39009.52380952381
14,Bmw,sedan,103.5,193.8,ohc,six,182,16,41315.0,39347.619047619046
47,Mercedes-benz,hardtop,112.0,199.2,ohcv,eight,184,14,45400.0,43238.09523809524
